id;control;produto;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
24;su_Outros_sucos;  Outros sucos de uvas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.102.151,00;7.815.879,00;5.541.100,00;5.588.403,00;1.825.635,00
25;SUCO DE UVAS CONCENTRADo;SUCO DE UVAS CONCENTRADo;0,00;0,00;59.044,00;1.951.966,00;1.619.428,00;768.401,00;1.467.883,00;2.444.089,00;2.454.178,00;2.751.886,00;4.142.363,00;3.064.156,00;3.148.110,00;3.447.837,00;3.923.167,00;5.736.808,00;7.553.410,00;5.969.562,00;5.656.096,00;6.716.197,00;8.211.959,00;7.311.205,00;10.607.336,00;12.178.160,00;10.005.084,00;11.029.248,00;11.625.777,00;16.724.519,00;13.944.137,00;16.261.806,00;15.315.971,00;14.704.091,00;16.499.202,00;15.246.651,00;19.218.964,00;23.221.898,00;23.228.388,00;25.603.588,00;27.880.465,00;31.861.857,00;30.827.991,00;34.892.316,00;33.529.324,00;38.369.914,00;39.359.935,00;34.923.477,00;28.859.784,00;26.815.645,00;23.572.263,00;28.721.470,00;22.422.414,00;26.730.942,00;33.632.834,00;37.852.507,00
26;OUTROS PRODUTOS COMERCIALIZADOs;OUTROS PRODUTOS COMERCIALIZADOs;19.844.550,00;20.351.384,00;23.615.205,00;25.401.454,00;24.530.878,00;23.102.540,00;28.321.777,00;27.333.925,00;29.509.570,00;29.719.709,00;18.053.687,00;19.698.180,00;17.770.629,00;13.706.809,00;15.284.617,00;15.655.775,00;19.777.809,00;25.522.173,00;24.276.716,00;19.148.275,00;17.145.444,00;18.701.133,00;13.669.760,00;17.047.905,00;21.351.477,00;21.348.586,00;27.574.147,00;31.437.414,00;29.935.005,00;34.388.096,00;37.168.164,00;30.853.863,00;29.950.775,00;29.636.903,00;32.261.664,00;32.226.420,00;27.088.994,00;27.833.872,00;28.697.650,00;26.554.757,00;29.023.870,00;28.783.827,00;30.316.511,00;36.841.561,00;34.963.296,00;31.922.948,00;27.120.309,00;28.027.052,00;31.246.158,00;34.794.651,00;26.547.242,00;26.657.930,00;31.704.382,00;29.889.342,00
27;ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informacao detalhada),0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.734.763,00;310.886,00;192.057,00;17.618,00;8.812,00;8.152,00
28;ou_Agrin;  Agrin (fermentado; acetico misto);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.861.278,00;7.419.736,00;7.677.906,00;7.188.135,00;7.268.443,00;6.745.427,00;6.852.708,00;5.997.697,00;5.311.258,00;56.936,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00,0
29;ou_Aguardente;  Aguardente de vinho 50°gl;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;866,00;0,00;0,00;111,00
30;ou_Alcool_vinico;  Alcool vinico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.315,00;49.662,00;21.575,00;0,00;6.640,00;0,00;0,00;0,00
31;ou_Bagaceira;  Bagaceira (graspa),1.192.987,00;1.111.014,00;1.059.696,00;997.624,00;839.441,00;706.946,00;698.399,00;595.137,00;432.596,00;812.433,00;494.061,00;1.770.895,00;496.554,00;339.085,00;434.913,00;289.415,00;353.074,00;236.724,00;285.409,00;202.478,00;174.148,00;149.352,00;38.015,00;53.928,00;20.016,00;39.232,00;46.959,00;33.549,00;14.356,00;5.121,00;8.213,00;13.881,00;23.901,00;28.128,00;31.294,00;31.048,00;29.939,00;21.186,00;23.195,00;21.133,00;16.413,00;18.111,00;14.710,00;17.075,00;14.472,00;16.268,00;9.301,00;9.257,00;6.929,00;8.746,00;7.610,00;7.676,00;5.594,00;0,00
32;ou_Base_champenoise;  Base champenoise champanha;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69.800,00;0,00;11,00;41.134,00;42.671,00;27.078,00;46.476,00;72.774,00;74.805,00;48.866,00;74.941,00;65.692,00;8.772,00;9.580,00;60.958,00;66.290,00
33;ou_Base_charmat;  Base charmat champanha;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;56,00;0,00;42.847,00;66.220,00;46.518,00;97.260,00;75.067,00;117.404,00;122.356,00;298.836,00;287.361,00;271.714,00;123,00;4.230,00;226.901,00;184.040,00
